ID,created_at,text,likes,in reply to,retweeted
1314027577904975872,2020-10-08 02:19:22,"Sen. Kamala Harris: ""I was a part of those peaceful protests. And I believe strongly that first of all we are never… https://t.co/sRwaZzCRdr",156,,False
1314027499496579072,2020-10-08 02:19:03,"WATCH: Harris criticizes Pence for interrupting her in viral moment: ""Mr. Vice President, I am speaking""… https://t.co/uatTcLfp9f",364,,False
1314027256516407300,2020-10-08 02:18:06,"Sen. Kamala Harris: ""Let's talk about packing the Court then.""

VP Mike Pence: ""Please.""

Harris: ""Yeah, I'm about… https://t.co/MnS4cEw8Ct",638,,False
1314026755896807424,2020-10-08 02:16:06,Texas Supreme Court rules major county can't mail ballot applications to all voters https://t.co/LqpEngCL4H https://t.co/3aMm9N0t9h,31,,False
1314026477097279489,2020-10-08 02:15:00,"VP Mike Pence: ""Sen. Harris, you're entitled to your own opinion but you're not entitled to your own facts.""… https://t.co/WwWiYD4waZ",193,,False
1314025989618446338,2020-10-08 02:13:04,White House security official reported to be gravely ill with COVID-19 https://t.co/lfumasDZym https://t.co/mOomRDhKEq,175,,False
1314025244861104131,2020-10-08 02:10:06,WATCH LIVE: Pence and Harris go head to head during their only #VPDebate https://t.co/FMWbIrDPpb https://t.co/A9eoJ40OwR,37,,False
1314024484203106305,2020-10-08 02:07:05,Trump administration asks Supreme Court to allow it to halt census count https://t.co/L6oMIehsIH https://t.co/MldhBjAxrs,34,,False
1314024093411409921,2020-10-08 02:05:31,"Susan Page stops VP Pence as he goes past time limit: ""I did not create the rules for tonight... I'm here to enforc… https://t.co/CAh9UZf1P1",743,,False
1314023720193863683,2020-10-08 02:04:02,"""The American people have a right to know what is influencing the president's decisions, and is he making those dec… https://t.co/xH3GJJ7CFp",467,,False
1314023020969824258,2020-10-08 02:01:16,"Sen. Kamala Harris: ""We were in the Iran nuclear deal with friends, with allies all around the country."" #VPDebate https://t.co/xbSRRfRNqO",153,,False
1314022362988392449,2020-10-08 01:58:39,"VP Mike Pence: ""The climate is changing -- but the issue is what's the cause and what do we do about it?"" #VPDebate https://t.co/Ri1vBYkN1l",90,,False
1314022226258259968,2020-10-08 01:58:06,VP debate kicks off with heated head-to-head clash over coronavirus #VPDebate https://t.co/hHEQ9iK28k https://t.co/mgKGLoYMiZ,66,,False
1314021459073921026,2020-10-08 01:55:03,Missouri governor says he'll pardon St. Louis couple who pointed guns at protesters after indictment… https://t.co/Lj2FtCEToD,137,,False
1314020710197723136,2020-10-08 01:52:05,"Pence, Harris dodge question on the age of their running mates entirely in #VPDebate https://t.co/neXgFtRaOs https://t.co/B4Dd9OcoBp",126,,False
1314020473399914497,2020-10-08 01:51:08,"Sen. Kamala Harris: ""Joe Biden is responsible for saving America's auto industry and you voted against it -- so let… https://t.co/8d2O54VfXO",534,,False
1314020385113944065,2020-10-08 01:50:47,"Sen. Kamala Harris: ""Joe Biden will not ban fracking. That is a fact. That is a fact."" #VPDebate https://t.co/xVlwfapwUO",206,,False
1314019962684690433,2020-10-08 01:49:07,"Almost a third of COVID patients who are hospitalized develop brain malfunction, new study finds… https://t.co/cchvPE3G8x",152,,False
1314019189066264580,2020-10-08 01:46:02,"""Undecided voters"" at NBC-Biden town hall once told MSNBC they were voting for Biden https://t.co/GFEPHgjjDc https://t.co/3Bv5fCe8Yf",140,,False
1314018927375155200,2020-10-08 01:45:00,"Sen. Kamala Harris: ""This administration has forfeited their right to re-election."" #VPDebate https://t.co/dzocmw311K",497,,False
1314018469143289863,2020-10-08 01:43:10,"Sen. Kamala Harris: ""Mr. Vice President, I'm speaking. I'm speaking."" #VPDebate https://t.co/OlB2HTqxAq",493,,False
1314018440261365760,2020-10-08 01:43:04,"The poll is the latest to suggest trouble for Trump in a state that he carried in 2016 by less than 23,000 votes. https://t.co/ruHwSHUtq7",131,,False
1314017692899311618,2020-10-08 01:40:05,Justice Dept changes decades-old rule to allow election fraud probes as election underway https://t.co/9DYlGzkhzg https://t.co/PiI0qlbscr,64,,False
1314016924871909376,2020-10-08 01:37:02,Cunningham uses environmental awards event to apologize to voters after admitting to exchanging romantic text messa… https://t.co/p6TqJg93Db,32,,False
