ID,created_at,text,likes,in reply to,retweeted
1324562980231630848,2020-11-06 04:03:18,"“Now it’s under 2,000 … It’s so close that when you do it to the tenth of a decimal point, it is now a tie. 49.4% t… https://t.co/GY05ok4FHa",625,,False
1324561150638522370,2020-11-06 03:56:02,.@HayesBrown: Trump made sure the 2020 election was about one thing: Trump https://t.co/HVF8pt36oh,251,,False
1324560900615860224,2020-11-06 03:55:02,"RT @11thHour: Day 1,386: We may know who won the election before midnight.

Here tonight: 

@SteveKornacki 
@AshleyRParker 
@alexi 
@rehema…",0,,False
1324558400567521286,2020-11-06 03:45:06,.@HayesBrown: Election Day 2020: It's nearly over but Trump won't stop shouting https://t.co/HtI3mmrSzR,171,,False
1324557628085833728,2020-11-06 03:42:02,.@GadiNBC debunks “Sharpiegate” conspiracy theory: “Some Trump supporters believe that they were given Sharpies on… https://t.co/B8uEePRne1,409,,False
1324555378902896641,2020-11-06 03:33:06,.@annehelen: The 2020 election has terrorized America. But here's our silver lining. https://t.co/WV8TVhsLUR,126,,False
1324554866321170438,2020-11-06 03:31:03,"""The headline from Arizona is that Trump remains in contention to win that state,” @SteveKornacki says, discussing… https://t.co/f3PWQYbIxW",188,,False
1324554321011347456,2020-11-06 03:28:53,RT @GadiNBC: Alex Jones just showed up at the Maricopa country election center https://t.co/uBL46IJwu7,0,,False
1324553645904592898,2020-11-06 03:26:12,“This was Donald talking about an attempted coup. The leader of a country trying desperately to delegitimize an ele… https://t.co/NesDEAUQhG,1903,,False
1324552609512960000,2020-11-06 03:22:05,“I think the Biden campaign did an amazing effort and investment in the Latino community that really swung it back… https://t.co/c0sQfdKLas,573,,False
1324552349814345728,2020-11-06 03:21:03,.@marcambinder: The solution to Trump-Biden polarization may be easier (and cheaper) than we think https://t.co/4y4nO5fXeM,94,,False
1324549339134513154,2020-11-06 03:09:06,.@HayesBrown: The last months of Trump's first presidential term will be brutal https://t.co/xdhfBFSmMA,791,,False
1324548084576276486,2020-11-06 03:04:06,".@SteveKornacki discusses how @NBCNews Decision Desk projects calls: “If its very, very close and a candidate is a… https://t.co/qVXTxU1an6",354,,False
1324547578902491136,2020-11-06 03:02:06,".@SteveKornacki says if mail-in ballots in Pennsylvania continue to follow the trend of favoring Joe Biden, “Philad… https://t.co/ATrRjfDqLB",1275,,False
1324546058140196866,2020-11-06 02:56:03,.@HayesBrown: Trump made sure the 2020 election was about one thing: Trump https://t.co/Mimm4m6mg1,265,,False
1324543288209297410,2020-11-06 02:45:03,.@HayesBrown: Election Day 2020: It's nearly over but Trump won't stop shouting https://t.co/AK5Dz9Gt3Y,230,,False
1324542284998807552,2020-11-06 02:41:04,"“Absolutely not, there are not illegal votes being counted in the state of Arizona,” Arizona Sec. of State Katie Ho… https://t.co/YWrrIv1qp6",2493,,False
1324540285733556224,2020-11-06 02:33:07,.@annehelen: The 2020 election has terrorized America. But here's our silver lining. https://t.co/wndckUpVpG,157,,False
1324540107655913473,2020-11-06 02:32:25,"UPDATE: More than 120,000 Covid-19 cases recorded in the U.S., breaking new single-day record high. https://t.co/bVfXTUvugP",189,MSNBC,False
1324538001477849097,2020-11-06 02:24:02,"“Donald Trump basically went out and accused neutral polling companies...the media, Democrats and local election of… https://t.co/bPDFVtzPUM",1007,,False
1324537738561941504,2020-11-06 02:23:00,Arizona AG Brnovich says election officials don’t believe there were any issues with the use of Sharpies to mark ba… https://t.co/LedG1I6qow,177,MSNBC,False
1324537250135330821,2020-11-06 02:21:03,.@marcambinder: The solution to Trump-Biden polarization may be easier (and cheaper) than we think https://t.co/ZQRdpkBe5n,71,,False
1324536970706591745,2020-11-06 02:19:57,"“There are still many votes to come in Maricopa County,” @SteveKornacki says, examining latest from Arizona. “The h… https://t.co/36WuReHBBV",269,,False
1324536738006683650,2020-11-06 02:19:01,"UPDATE: In Georgia vote count, President Trump leads Joe Biden by 2,497 votes, as of 9:15 p.m. ET Thursday. https://t.co/W16xaYKATW",1013,,False
1324536475267010563,2020-11-06 02:17:59,"Live on @MSNBC:

@Maddow, @JoyAnnReid, @NicolleDWallace and Brian Williams continue special coverage of… https://t.co/QyOK77Y3tX",330,,False
1324535703116615681,2020-11-06 02:14:54,“The latest from the election officials inside is that we probably aren’t going to know the election results tomorr… https://t.co/d4SjETf5oS,393,,False
1324534236615987204,2020-11-06 02:09:05,.@HayesBrown: The last months of Trump's first presidential term will be brutal https://t.co/8w88BaMsTj,607,,False
1324532219189305344,2020-11-06 02:01:04,“They’re feeding people this fantasy that somehow either violent people or…Republican state legislators can change… https://t.co/GqZwgiHkGz,881,,False
1324530958574473217,2020-11-06 01:56:03,.@HayesBrown: Trump made sure the 2020 election was about one thing: Trump https://t.co/9Ed7Rx4Kr7,305,,False
1324529461455446016,2020-11-06 01:50:06,Twitter banned an account associated with Steve Bannon on Thursday and YouTube removed one of his videos after the… https://t.co/SzcNiF9JIe,1400,,False
1324528189998309377,2020-11-06 01:45:03,.@HayesBrown: Election Day 2020: It's nearly over but Trump won't stop shouting https://t.co/9U0CgMKFLb,195,,False
1324527446616625152,2020-11-06 01:42:06,"“No one, besides Trump, is working to undermine our democracy,” Juanita Tolliver says. “Every single vote should be… https://t.co/ncSBe4ptPg",851,,False
1324526320538234880,2020-11-06 01:37:37,“The idea that the president of the United States thinks it’s a ‘big win’ to be 4 feet closer and breathing down so… https://t.co/eTpRSTr5hs,3244,,False
